,Id,StrategyId,TradingObject,Freq
84,002269_603877@192.168.1.12@30941,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002269_603877,002269,603877",0.105
85,002269_603877@192.168.1.51@41045,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002269_603877,002269,603877",0.044
86,002308_002281@192.168.1.12@30942,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002308_002281,002308,002281",0.074
87,002308_002281@192.168.1.51@41046,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002308_002281,002308,002281",0.035
88,002308_002414@192.168.1.12@30943,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002308_002414,002308,002414",0.07
89,002311_600438@192.168.1.51@41047,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002311_600438,002311,600438",0.041
90,002317_002038@192.168.1.12@30944,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002317_002038,002317,002038",0.104
91,002317_002038@192.168.1.51@41048,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002317_002038,002317,002038",0.058
92,002332_002038@192.168.1.51@41049,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002332_002038,002332,002038",0.039
93,002344_002183@192.168.1.51@41050,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002344_002183,002344,002183",0.064
94,002345_600086@192.168.1.12@30945,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002345_600086,002345,600086",0.071
95,002359_600037@192.168.1.51@41051,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002359_600037,002359,600037",0.023
96,002392_002271@192.168.1.51@41052,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002392_002271,002392,002271",0.055
97,002392_600516@192.168.1.51@41053,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002392_600516,002392,600516",0.05
98,002414_002281@192.168.1.12@30946,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002414_002281,002414,002281",0.075
99,002414_002281@192.168.1.51@41054,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002414_002281,002414,002281",0.036
100,002434_002048@192.168.1.12@30947,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002434_002048,002434,002048",0.095
101,002437_300026@192.168.1.51@41055,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002437_300026,002437,300026",0.019
102,002463_002281@192.168.1.51@41056,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002463_002281,002463,002281",0.036
103,002463_002414@192.168.1.12@30948,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002463_002414,002463,002414",0.057
104,002463_002414@192.168.1.51@41057,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002463_002414,002463,002414",0.033
105,002482_002325@192.168.1.12@30949,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002482_002325,002482,002325",0.088
106,002482_002375@192.168.1.12@30950,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002482_002375,002482,002375",0.093
